"ID","Etat","Département","Station","Longitude","Latitude","Elevation","Derniere_Activite","Source","Code","Licence","URL_Licence"
"00096","FR","74","Le-Sappey (Mt Salève)",6.1669,46.0889,900,"2025-11-16T15:15:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00098","FR","29","Plouguerneau",-4.5,48.6,12,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00099","FR","74","Crempigny-Bonneguête",5.90361,45.9525,502,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000A1","FR","86","Cernay",0.3,46.83,81,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000A3","FR","84","Entrechaux",5.1,44.2,305,"2023-11-16T10:30:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000A6","CH","CH","Leysin",7.025,46.3545,1360,"2025-07-03T22:00:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000A5","FR","38","Sablons",4.7744,45.3192,138,"2016-09-17T09:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000A9","FR","49","Rablay-sur-Layon",-0.5753,47.2953,51,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000B0","FR","25","La Chaux ",6.426308,47.021491,900,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"000B3","FR","68","Mulhouse",7.342558,47.745615,255,"2016-01-04T12:30:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000B4","FR","68","Chalampé",7.54636,47.83039,216,"2013-12-29T16:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000B6","FR","15","Salins",2.3914,45.1911,660,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000B5","FR","26","Saint-Sorlin-en-Valloire",4.943055,45.2686111,340,"2019-07-19T09:30:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"000C0","FR","57","Buhl-Lorraine",7.0856,48.7239,260,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
