station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0180,2023-08-05 08:40:00,14.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 08:50:00,14.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 09:00:00,14.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 09:10:00,15.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 09:20:00,15.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 09:30:00,16.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 09:40:00,16.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 09:50:00,15.9,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 10:00:00,15.9,,,93,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 10:10:00,15.7,,,90,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 10:20:00,15.6,,,88,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 10:30:00,15.4,,,88,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 10:40:00,15.3,,,89,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 10:50:00,15.6,,,88,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 11:00:00,16,,,86,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 11:10:00,16.5,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 11:20:00,16.9,,,82,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 11:30:00,16.9,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 11:50:00,16.9,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 12:00:00,16.8,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 12:10:00,16.8,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 12:20:00,16.5,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 12:30:00,16.3,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 12:40:00,16.1,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 12:50:00,16.7,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 13:00:00,16.8,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":48.4871,"lon":-2.99431},liveobjects
