station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UO,2024-11-21 07:30:00,-1.1,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 07:50:00,-0.6,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 08:00:00,-0.1,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 08:10:00,0,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 08:20:00,0,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 08:30:00,0.2,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 08:40:00,0.4,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 08:50:00,0.7,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 09:00:00,1.1,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 09:10:00,1.2,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 09:20:00,1.3,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 09:30:00,1.3,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 09:40:00,1.3,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 09:50:00,1.3,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 10:00:00,1.6,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 10:10:00,2,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 10:20:00,2.2,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 10:30:00,2.2,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 10:40:00,2.2,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 10:50:00,2.5,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 11:00:00,2.6,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 11:10:00,2.7,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 11:20:00,2.8,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.93},liveobjects
000UO,2024-11-21 11:30:00,2.5,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.9},liveobjects
000UO,2024-11-21 11:40:00,2.7,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.9},liveobjects
